icd_10,DOID,MESH,ULMS,Alternateids,Name,Name_DO,Descriptions,probs,gender,pharmgkb_ids,symptoms,symptoms_mesh_id,sympotoms_tf_idfs,names_ru,descriptions_ru,symptoms_ru
B00.0,DOID:9123,['MESH:D007617'],"['UMLS_CUI:C0936250', 'UMLS_CUI:C0022504']",DOID:4408; DOID:9081,eczema herpeticum,eczema herpeticum,"['Eczema herpeticum', ""Kaposi's varicelliform eruption""]",0.0001183313477046,neutral,,,,,Герпетическая экзема,,
B00.1,,['MESH:D006560'],['UMLS_CUI:C0019345'],,herpesviral vesicular dermatitis,,['Herpes simplex labialis'],0.0001183313477046,neutral,,"['Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Nausea', 'Paralysis', 'Fever of Unknown Origin', 'Myoclonus', 'Confusion', 'Pain', 'Headache', 'Vocal Cord Paralysis', 'Psychophysiologic Disorders', 'Blindness', 'Pain, Postoperative', 'Jaundice', 'Pruritus', 'Hearing Loss, Sudden', 'Skin Manifestations']","['MESH:D005334', 'MESH:D001835', 'MESH:D001724', 'MESH:D015431', 'MESH:D009325', 'MESH:D010243', 'MESH:D005335', 'MESH:D009207', 'MESH:D003221', 'MESH:D010146', 'MESH:D006261', 'MESH:D014826', 'MESH:D011602', 'MESH:D001766', 'MESH:D010149', 'MESH:D007565', 'MESH:D011537', 'MESH:D003639', 'MESH:D012877']","[1.8568128968498905, 0.342987847144765, 1.4071309430047, 1.0000537113811745, 1.1387530741641398, 0.4844713774828484, 1.4731549166710445, 1.775070869430331, 1.5089482112769952, 2.3057069604151805, 1.7691285094237812, 1.9877795434519607, 1.482505634153478, 1.0981383550099495, 6.711421289065839, 1.45471177095225, 7.329710542409017, 2.5853020293441618, 0.6123572181015575]",Герпетический везикулярный дерматит,,"['Высокая температура, температура', 'Вес тела', 'Вес при рождении', 'потеря веса', 'тошнота, рвота ', 'Паралич', 'Лихорадка неизвестного происхождения', 'Миоклонус', 'спутанное сознание', 'Боль', 'головная боль, цефалгия', 'Паралич голосовых связок', 'Психофизиологические расстройства', 'Слепота, корковая', 'Послеоперационная боль ', 'желтуха', 'зуд, зудящий, чесотка', 'внезапная потеря слуха ', 'Кожные проявления']"
B00.2,,,,,herpesviral gingivostomatitis and pharyngotonsillitis,,,0.0001183313477046,neutral,,,,,Герпетический гингивостоматит и фаринготонзиллит,,
B00.3,,,,,herpesviral meningitis,,,0.0001183313477046,neutral,,,,,Герпетический менингит,,
B00.4,,"['MESH:D020803', 'MESH:D006566']","['UMLS_CUI:C0276226', 'UMLS_CUI:C0037140']",,herpesviral encephalitis,,"['Herpesviral encephalitis', 'Simian B disease']",0.0001183313477046,neutral,,"['Fever', 'Hypothermia', 'Body Weight', 'Muscle Weakness', 'Seizures', 'Paralysis', 'Hearing Disorders', 'Hearing Loss, Sensorineural', 'Fever of Unknown Origin', 'Dyskinesias', 'Ataxia', 'Athetosis', 'Chorea', 'Hyperkinesis', 'Psychomotor Agitation', 'Meningism', 'Catatonia', 'Language Disorders', 'Aphasia', 'Aphasia, Broca', 'Dysarthria', 'Confusion', 'Delirium', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Amnesia', 'Hallucinations', 'Low Back Pain', 'Headache', 'Neuralgia', 'Facial Paralysis', 'Hemiplegia', 'Pseudobulbar Palsy', 'Paresis', 'Hearing Loss, Bilateral', 'Olfaction Disorders', 'Vision Disorders', 'Blindness', 'Hemianopsia', 'Vomiting', 'Urinary Incontinence', 'Lethargy', 'Perceptual Disorders', 'Photophobia', 'Persistent Vegetative State', 'Agnosia', 'Korsakoff Syndrome', 'Anomia', 'Amnesia, Anterograde', 'Amnesia, Retrograde', 'Aerophagy', 'Eructation', 'Amnesia, Transient Global', 'Fever', 'Body Weight', 'Weight Loss', 'Muscle Weakness', 'Seizures', 'Anorexia', 'Dyspnea', 'Respiratory Sounds', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Sleep Disorders', 'Oral Manifestations', 'Diarrhea', 'Fever of Unknown Origin', 'Fatigue', 'Hypergammaglobulinemia', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Myoclonus', 'Akathisia, Drug-Induced', 'Tremor', 'Catatonia', 'Language Disorders', 'Aphasia', 'Learning Disorders', 'Consciousness Disorders', 'Coma', 'Memory Disorders', 'Amnesia', 'Mental Retardation', 'Hallucinations', 'Psychomotor Disorders', 'Pain', 'Back Pain', 'Headache', 'Neuralgia', 'Sciatica', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Paresis', 'Sensation Disorders', 'Dizziness', 'Olfaction Disorders', 'Hyperalgesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Vertigo', 'Voice Disorders', 'Abdomen, Acute', 'Arthralgia', 'Constipation', 'Vomiting', 'Jaundice', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Albuminuria', 'Hemoglobinuria', 'Neurologic Manifestations', 'Phantom Limb', 'Spasm', 'Hearing Loss, Sudden', 'Skin Manifestations', 'Perceptual Disorders', 'Eye Manifestations', 'Oliguria']","['MESH:D005334', 'MESH:D007035', 'MESH:D001835', 'MESH:D018908', 'MESH:D012640', 'MESH:D010243', 'MESH:D006311', 'MESH:D006319', 'MESH:D005335', 'MESH:D020820', 'MESH:D001259', 'MESH:D001264', 'MESH:D002819', 'MESH:D006948', 'MESH:D011595', 'MESH:D008580', 'MESH:D002389', 'MESH:D007806', 'MESH:D001037', 'MESH:D001039', 'MESH:D004401', 'MESH:D003221', 'MESH:D003693', 'MESH:D003244', 'MESH:D014474', 'MESH:D003128', 'MESH:D013575', 'MESH:D008569', 'MESH:D000647', 'MESH:D006212', 'MESH:D017116', 'MESH:D006261', 'MESH:D009437', 'MESH:D005158', 'MESH:D006429', 'MESH:D020828', 'MESH:D010291', 'MESH:D006312', 'MESH:D000857', 'MESH:D014786', 'MESH:D001766', 'MESH:D006423', 'MESH:D014839', 'MESH:D014549', 'MESH:D053609', 'MESH:D010468', 'MESH:D020795', 'MESH:D018458', 'MESH:D000377', 'MESH:D020915', 'MESH:D000849', 'MESH:D020324', 'MESH:D000648', 'MESH:D000334', 'MESH:D004884', 'MESH:D020236', 'MESH:D005334', 'MESH:D001835', 'MESH:D015431', 'MESH:D018908', 'MESH:D012640', 'MESH:D000855', 'MESH:D004417', 'MESH:D012135', 'MESH:D004487', 'MESH:D010243', 'MESH:D006311', 'MESH:D034381', 'MESH:D012893', 'MESH:D009912', 'MESH:D003967', 'MESH:D005335', 'MESH:D005221', 'MESH:D006942', 'MESH:D020820', 'MESH:D001259', 'MESH:D002524', 'MESH:D009207', 'MESH:D017109', 'MESH:D014202', 'MESH:D002389', 'MESH:D007806', 'MESH:D001037', 'MESH:D007859', 'MESH:D003244', 'MESH:D003128', 'MESH:D008569', 'MESH:D000647', 'MESH:D008607', 'MESH:D006212', 'MESH:D011596', 'MESH:D010146', 'MESH:D001416', 'MESH:D006261', 'MESH:D009437', 'MESH:D012585', 'MESH:D010148', 'MESH:D005158', 'MESH:D006429', 'MESH:D009886', 'MESH:D010264', 'MESH:D010291', 'MESH:D012678', 'MESH:D004244', 'MESH:D000857', 'MESH:D006930', 'MESH:D010292', 'MESH:D014786', 'MESH:D001766', 'MESH:D014717', 'MESH:D014832', 'MESH:D000006', 'MESH:D018771', 'MESH:D003248', 'MESH:D014839', 'MESH:D007565', 'MESH:D011537', 'MESH:D011693', 'MESH:D011695', 'MESH:D011696', 'MESH:D016553', 'MESH:D000419', 'MESH:D006456', 'MESH:D009461', 'MESH:D010591', 'MESH:D013035', 'MESH:D003639', 'MESH:D012877', 'MESH:D010468', 'MESH:D005132', 'MESH:D009846']","[12.378752645665935, 1.9454362153971527, 0.342987847144765, 4.964955408514309, 18.59367236147111, 0.4844713774828484, 0.7350165749565932, 1.2148558604642947, 1.4731549166710445, 0.7479520787085234, 1.2196597127769402, 5.164324618678989, 5.978950113980964, 2.341000252522606, 4.485120359418707, 3.074353853560592, 2.701906514481101, 3.2332099875485074, 12.674632701731234, 6.221822898588778, 2.0265851178737564, 6.035792845107981, 2.083955149532715, 2.6313878286731183, 3.7118913168225856, 2.624169625686484, 1.4908914275297522, 7.3399880383194995, 23.88634756220436, 1.7232881843244452, 1.5904210228767852, 7.076514037695126, 1.5383141060813592, 4.071290734891374, 1.2946323628920158, 4.157698670097913, 3.8632073514988665, 2.2117885210426, 2.2882302165425417, 0.6634894318679091, 3.294415065029849, 2.082052199386629, 0.8435126654253875, 1.6175293416348633, 3.4953231482047213, 1.3860573662141715, 2.85429196878379, 3.095079984077709, 7.608637257442916, 8.059730597176056, 13.680398907868536, 8.141374586216566, 13.59437408698468, 4.070687293108283, 3.9779055596573167, 4.098858170074981, 30.327943981881543, 1.7149392357238251, 2.000107422762349, 1.985982163405724, 10.987170031778383, 7.301042455816744, 2.010443363079234, 3.2785386565425387, 2.97939047051441, 2.9068282648970896, 0.7350165749565932, 1.6071010892456583, 1.4929989098693168, 5.5973288485437225, 3.6927525243292414, 5.892619666684178, 18.208210488342868, 6.716500654827742, 0.7479520787085234, 4.878638851107762, 10.252713737746909, 3.550141738860662, 3.110911449294389, 3.478705573656504, 2.701906514481101, 1.077736662516169, 3.621323629066066, 1.7353123772912469, 0.8771292762243725, 2.624169625686484, 4.4039928229916985, 8.68594456807431, 3.621786736290857, 1.7232881843244452, 1.3316409916371097, 7.575894298507023, 1.1469285191793817, 4.422821273559453, 53.84099371284756, 4.338818596147477, 1.992983371326988, 21.71355058608733, 7.767794177352097, 2.659694538366165, 1.2774792836657665, 2.575471567665911, 0.3433219042716397, 1.3424714224114789, 2.2882302165425417, 2.3941100778365545, 2.7160362922995573, 1.3269788637358182, 1.0981383550099495, 1.5962519431875786, 1.66524481467453, 1.4376001304795285, 2.9546000006524262, 1.5939154935265591, 1.687025330850775, 1.45471177095225, 4.397826325445411, 6.379311635574802, 1.9982144207445407, 5.659622082207321, 5.8016833648709465, 2.0650866652283315, 2.8835216070987286, 0.2797656527013375, 3.229359599707584, 1.3672774715625755, 5.170604058688324, 2.44942887240623, 1.3860573662141715, 1.5078769738954958, 2.6140121352265933]",Герпетический энцефалит,,"['Высокая температура, температура', 'гипотермия, переохлаждение', 'Вес тела', 'Мышечная слабость', 'Судороги', 'Паралич', 'Нарушения слуха', 'Потеря слуха нейросенсорная', 'Лихорадка неизвестного происхождения', 'Дискинезии', 'атаксия, диссинергия, дискоординация', 'атетоз, атетоидный гиперкинез, экстрапирамидный мозговой паралич', 'хорея', 'гиперкинезия', 'Психомоторное возбуждение', 'менингизм', 'кататония', 'Языковые расстройства', 'афазия, афразия, алогия, логагнозия, логастения, словесная глухота ', 'Афазия, Брока', 'дизартрия, дизартроз', 'спутанное сознание', 'делирий', 'Расстройства сознания', 'бессознательное состояние', 'кома', 'синкопе, обморок', 'Расстройства памяти', 'Амнезия', 'Галлюцинации', 'боль низа спины, Люмбаго', 'головная боль, цефалгия', 'невралгия, нейродиния', 'Лицевой паралич', 'гемиплегия', 'Псевдобульбарный паралич', 'Парез', 'двусторонняя потеря слуха ', 'Расстройства обоняния', 'Нарушения зрения', 'Слепота, корковая', 'Гемианопсия', 'рвотный рефлекс, глоточный рефлекс', 'Недержание мочи', 'летаргия', 'Расстройства восприятия', 'фотофобия, светобоязнь', 'Стойкое вегетативное состояние', 'агнозия', 'синдром Корсакова', 'аномия, номинативная афазия', 'Антероградная амнезия', 'Амнезия ретроградная', 'аэрофагия, пневмофагия', 'отрыжка', 'Амнезия преходящая глобальная', 'Высокая температура, температура', 'Вес тела', 'потеря веса', 'Мышечная слабость', 'Судороги', 'анорексия', 'одышка', 'распиратоные звуки, хрипы в грудной клетке ', 'отёк, водянка', 'Паралич', 'Нарушения слуха', 'Потеря слуха', 'Нарушения сна', 'Оральные проявления', 'диарея, понос', 'Лихорадка неизвестного происхождения', 'усталость', 'гипергаммаглобулинемия', 'Дискинезии', 'атаксия, диссинергия, дискоординация', 'Мозжечковая атаксия', 'Миоклонус', 'Акатизия индуцированная лекарствами', 'Тремор', 'кататония', 'Языковые расстройства', 'афазия, афразия, алогия, логагнозия, логастения, словесная глухота ', 'Расстройства обучения', 'Расстройства сознания', 'кома', 'Расстройства памяти', 'Амнезия', 'Умственная отсталость', 'Галлюцинации', 'Психомоторные расстройства', 'Боль', 'Боль в спине', 'головная боль, цефалгия', 'невралгия, нейродиния', 'радикулит', 'Непреодолимая боль ', 'Лицевой паралич', 'гемиплегия', 'офтальмоплегия', 'параплегия, паралич верхних или нижних конечностей', 'Парез', 'Расстройства чувствительности', 'головокружение', 'Расстройства обоняния', 'гипералгезия', 'парестезия, спонтанно возникающее неприятное ощущение онемения, покалывания, жжения ', 'Нарушения зрения', 'Слепота, корковая', 'вертиго, головокружение', 'Голосовые расстройства', 'острая боль живота', 'артралгия', 'констипация, обстипация, коп-ростаз, запор', 'рвотный рефлекс, глоточный рефлекс', 'желтуха', 'зуд, зудящий, чесотка', 'Пурпура', 'Пурпура Шенлейна-Еноха', 'Пурпура тромбоцитопеническая идиопатическая', 'тромбоцитопеническая идиопатическая пурпура', 'альбуминурия, протеинурия', 'гемоглобинурия', 'Неврологические проявления', 'фантомная конечность', 'спазм', 'внезапная потеря слуха ', 'Кожные проявления', 'Расстройства восприятия', 'галзные проявления', 'олигурия, уменьшенное выделение мочи']"
B01.0,,,,,varicella meningitis,,,0.0017814721928479,neutral,,,,,Ветряная оспа с менингитом,,
B07.0,DOID:13775,,,,plantar wart,plantar wart,,0.0001339644410702,neutral,,,,,,"['очень редкое аутосомно-рецессивное заболевание, которое проявляется распространенными бородавчатыми высыпаниями склонными к злокачественной трансформации', 'Мутации в хромосоме 17q25 в генах EVER1 и EVER 2, в результате чего организм человека не может предотвратить заражение вирусом папилломы человека (ВПЧ) и бороться с ним.В следствие этого происходит заражение вирусом папилломы человека. В основном ВПЧ 3 и 5', 'Последние исследования показали, что у части больных верруциформной эпидермодисплазий Левандовского - Лютца имеются общие отклонения реакций клеточного иммунитета. Это возникает в результате наследственных мутаций или угнетений иммунных функций, вызванных различной вирусной инфекцией.', 'Болезнь характеризуется множественными бородавчатыми высыпаниями в виде множественных незначительно возвышающихся папул диаметром примерно 3-5 мм с полигональными очертаниями. Высыпания обычного телесного, красноватого или красно-бурого цвета. Присутствует склонность к группировке. У больных могут возникать крупные плоские бляшки и пятна, которые сливаются между собой и немного шелушатся.', 'Какие-либо неприятные ощущения у больных отсутствуют. Заболевание стойкое и длится всю жизнь. Следует отметить, что некоторые бородавчатые образования склонны к злокачественной трансформации', 'Диагноз ставится на основании клинической картины и анамнеза. При гистологическое исследовании выявляются акантоз, папилломатоз, койлоцитоз, гиперкератоз. Больным рекомендовано проводить ВПЧ типирование и генетическое тестирование.', 'В основном хирургическое удаление бородавчатых элементов. Медикаментозно: системное и местное применение ретиноидов.']",
B07.8,,,,,other viral warts,,,0.0001339644410702,neutral,,,,,,,
B07.9,,,,,"viral wart, unspecified",,,0.0001339644410702,neutral,,,,,Вирусные бородавки,,
B18.0,,,,,chronic viral hepatitis b with delta-agent,,,0.0003956851332536,neutral,,,,,Хронический вирусный гепатит B с дельта-агентом,,
B18.1,,['MESH:D019694'],['UMLS_CUI:C0524909'],,chronic viral hepatitis b without delta-agent,,['Chronic (viral) hepatitis B'],0.0003956851332536,neutral,,"['Fever', 'Body Weight', 'Weight Loss', 'Muscle Weakness', 'Abdominal Pain', 'Anorexia', 'Cough', 'Dyspnea', 'Proteinuria', 'Obesity', 'Hearing Loss, Sensorineural', 'Overweight', 'Fatigue', 'Hypergammaglobulinemia', 'Cerebrospinal Fluid Otorrhea', 'Dyskinesias', 'Dystonia', 'Mental Retardation', 'Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Tinnitus', 'Arthralgia', 'Angina Pectoris', 'Earache', 'Toothache', 'Jaundice', 'Jaundice, Obstructive', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic, Idiopathic', 'Albuminuria', 'Hearing Loss, Sudden']","['MESH:D005334', 'MESH:D001835', 'MESH:D015431', 'MESH:D018908', 'MESH:D015746', 'MESH:D000855', 'MESH:D003371', 'MESH:D004417', 'MESH:D011507', 'MESH:D009765', 'MESH:D006319', 'MESH:D050177', 'MESH:D005221', 'MESH:D006942', 'MESH:D002558', 'MESH:D020820', 'MESH:D004421', 'MESH:D008607', 'MESH:D010146', 'MESH:D017116', 'MESH:D006261', 'MESH:D009437', 'MESH:D014012', 'MESH:D018771', 'MESH:D000787', 'MESH:D004433', 'MESH:D014098', 'MESH:D007565', 'MESH:D041781', 'MESH:D011537', 'MESH:D011693', 'MESH:D011695', 'MESH:D016553', 'MESH:D000419', 'MESH:D003639']","[1.2378752645665936, 1.7149392357238251, 1.0000537113811745, 1.985982163405724, 1.6969673562948158, 1.8252606139541865, 1.3147291510963324, 1.005221681539617, 2.497955547067104, 4.995321909814009, 2.429711720928589, 0.8238720995508412, 2.2760263110428585, 1.6791251637069355, 3.1882981129098096, 0.7479520787085234, 1.5361090335230454, 0.9054466840727144, 0.9881601258922204, 1.5904210228767852, 0.8845642547118906, 1.5383141060813592, 1.9740336225473256, 4.431900000978638, 1.4526833726908572, 2.817924324612916, 2.7305823144577674, 17.456541251426998, 4.996057264354959, 1.4659421084818036, 2.1264372118582675, 3.9964288414890814, 3.867788909913964, 2.0650866652283315, 2.5853020293441618]",Хронический вирусный гепатит B без дельта-агента,,"['Высокая температура, температура', 'Вес тела', 'потеря веса', 'Мышечная слабость', 'Боль в животе', 'анорексия', 'Кашель', 'одышка', 'альбуминурия, протеинурия', 'ожирение, тучность, фактор насыщения', 'Потеря слуха нейросенсорная', 'Избыточный вес', 'усталость', 'гипергаммаглобулинемия', 'Цереброспинальная жидкость Оторея', 'Дискинезии', 'дистония', 'Умственная отсталость', 'Боль', 'боль низа спины, Люмбаго', 'головная боль, цефалгия', 'невралгия, нейродиния', 'шум в ушах', 'артралгия', 'Стенокардия', 'боль в ухе, оталгия, отодиния', 'зубная боль', 'желтуха', 'обтурационная желтуха ', 'зуд, зудящий, чесотка', 'Пурпура', 'Пурпура Шенлейна-Еноха', 'тромбоцитопеническая идиопатическая пурпура', 'альбуминурия, протеинурия', 'внезапная потеря слуха ']"
