icd_10,DOID,MESH,ULMS,Alternateids,Name,Name_DO,Descriptions,probs,gender,pharmgkb_ids,symptoms,symptoms_mesh_id,sympotoms_tf_idfs
B00.0,DOID:9123,['MESH:D007617'],"['UMLS_CUI:C0936250', 'UMLS_CUI:C0022504']",DOID:4408; DOID:9081,eczema herpeticum,eczema herpeticum,"['Eczema herpeticum', ""Kaposi's varicelliform eruption""]",0.0001183313477046,neutral,,,,
B00.1,,['MESH:D006560'],['UMLS_CUI:C0019345'],,herpesviral vesicular dermatitis,,['Herpes simplex labialis'],0.0001183313477046,neutral,,"['Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Nausea', 'Paralysis', 'Fever of Unknown Origin', 'Myoclonus', 'Confusion', 'Pain', 'Headache', 'Vocal Cord Paralysis', 'Psychophysiologic Disorders', 'Blindness', 'Pain, Postoperative', 'Jaundice', 'Pruritus', 'Hearing Loss, Sudden', 'Skin Manifestations']","['MESH:D005334', 'MESH:D001835', 'MESH:D001724', 'MESH:D015431', 'MESH:D009325', 'MESH:D010243', 'MESH:D005335', 'MESH:D009207', 'MESH:D003221', 'MESH:D010146', 'MESH:D006261', 'MESH:D014826', 'MESH:D011602', 'MESH:D001766', 'MESH:D010149', 'MESH:D007565', 'MESH:D011537', 'MESH:D003639', 'MESH:D012877']","[1.8568128968498905, 0.342987847144765, 1.4071309430047, 1.0000537113811745, 1.1387530741641398, 0.4844713774828484, 1.4731549166710445, 1.775070869430331, 1.5089482112769952, 2.3057069604151805, 1.7691285094237812, 1.9877795434519607, 1.482505634153478, 1.0981383550099495, 6.711421289065839, 1.45471177095225, 7.329710542409017, 2.5853020293441618, 0.6123572181015575]"
B00.2,,,,,herpesviral gingivostomatitis and pharyngotonsillitis,,,0.0001183313477046,neutral,,,,
B00.3,,,,,herpesviral meningitis,,,0.0001183313477046,neutral,,,,
B00.4,,"['MESH:D020803', 'MESH:D006566']","['UMLS_CUI:C0276226', 'UMLS_CUI:C0037140']",,herpesviral encephalitis,,"['Herpesviral encephalitis', 'Simian B disease']",0.0001183313477046,neutral,,"['Fever', 'Hypothermia', 'Body Weight', 'Muscle Weakness', 'Seizures', 'Paralysis', 'Hearing Disorders', 'Hearing Loss, Sensorineural', 'Fever of Unknown Origin', 'Dyskinesias', 'Ataxia', 'Athetosis', 'Chorea', 'Hyperkinesis', 'Psychomotor Agitation', 'Meningism', 'Catatonia', 'Language Disorders', 'Aphasia', 'Aphasia, Broca', 'Dysarthria', 'Confusion', 'Delirium', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Amnesia', 'Hallucinations', 'Low Back Pain', 'Headache', 'Neuralgia', 'Facial Paralysis', 'Hemiplegia', 'Pseudobulbar Palsy', 'Paresis', 'Hearing Loss, Bilateral', 'Olfaction Disorders', 'Vision Disorders', 'Blindness', 'Hemianopsia', 'Vomiting', 'Urinary Incontinence', 'Lethargy', 'Perceptual Disorders', 'Photophobia', 'Persistent Vegetative State', 'Agnosia', 'Korsakoff Syndrome', 'Anomia', 'Amnesia, Anterograde', 'Amnesia, Retrograde', 'Aerophagy', 'Eructation', 'Amnesia, Transient Global', 'Fever', 'Body Weight', 'Weight Loss', 'Muscle Weakness', 'Seizures', 'Anorexia', 'Dyspnea', 'Respiratory Sounds', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Sleep Disorders', 'Oral Manifestations', 'Diarrhea', 'Fever of Unknown Origin', 'Fatigue', 'Hypergammaglobulinemia', 'Dyskinesias', 'Ataxia', 'Cerebellar Ataxia', 'Myoclonus', 'Akathisia, Drug-Induced', 'Tremor', 'Catatonia', 'Language Disorders', 'Aphasia', 'Learning Disorders', 'Consciousness Disorders', 'Coma', 'Memory Disorders', 'Amnesia', 'Mental Retardation', 'Hallucinations', 'Psychomotor Disorders', 'Pain', 'Back Pain', 'Headache', 'Neuralgia', 'Sciatica', 'Pain, Intractable', 'Facial Paralysis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Paresis', 'Sensation Disorders', 'Dizziness', 'Olfaction Disorders', 'Hyperalgesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Vertigo', 'Voice Disorders', 'Abdomen, Acute', 'Arthralgia', 'Constipation', 'Vomiting', 'Jaundice', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Albuminuria', 'Hemoglobinuria', 'Neurologic Manifestations', 'Phantom Limb', 'Spasm', 'Hearing Loss, Sudden', 'Skin Manifestations', 'Perceptual Disorders', 'Eye Manifestations', 'Oliguria']","['MESH:D005334', 'MESH:D007035', 'MESH:D001835', 'MESH:D018908', 'MESH:D012640', 'MESH:D010243', 'MESH:D006311', 'MESH:D006319', 'MESH:D005335', 'MESH:D020820', 'MESH:D001259', 'MESH:D001264', 'MESH:D002819', 'MESH:D006948', 'MESH:D011595', 'MESH:D008580', 'MESH:D002389', 'MESH:D007806', 'MESH:D001037', 'MESH:D001039', 'MESH:D004401', 'MESH:D003221', 'MESH:D003693', 'MESH:D003244', 'MESH:D014474', 'MESH:D003128', 'MESH:D013575', 'MESH:D008569', 'MESH:D000647', 'MESH:D006212', 'MESH:D017116', 'MESH:D006261', 'MESH:D009437', 'MESH:D005158', 'MESH:D006429', 'MESH:D020828', 'MESH:D010291', 'MESH:D006312', 'MESH:D000857', 'MESH:D014786', 'MESH:D001766', 'MESH:D006423', 'MESH:D014839', 'MESH:D014549', 'MESH:D053609', 'MESH:D010468', 'MESH:D020795', 'MESH:D018458', 'MESH:D000377', 'MESH:D020915', 'MESH:D000849', 'MESH:D020324', 'MESH:D000648', 'MESH:D000334', 'MESH:D004884', 'MESH:D020236', 'MESH:D005334', 'MESH:D001835', 'MESH:D015431', 'MESH:D018908', 'MESH:D012640', 'MESH:D000855', 'MESH:D004417', 'MESH:D012135', 'MESH:D004487', 'MESH:D010243', 'MESH:D006311', 'MESH:D034381', 'MESH:D012893', 'MESH:D009912', 'MESH:D003967', 'MESH:D005335', 'MESH:D005221', 'MESH:D006942', 'MESH:D020820', 'MESH:D001259', 'MESH:D002524', 'MESH:D009207', 'MESH:D017109', 'MESH:D014202', 'MESH:D002389', 'MESH:D007806', 'MESH:D001037', 'MESH:D007859', 'MESH:D003244', 'MESH:D003128', 'MESH:D008569', 'MESH:D000647', 'MESH:D008607', 'MESH:D006212', 'MESH:D011596', 'MESH:D010146', 'MESH:D001416', 'MESH:D006261', 'MESH:D009437', 'MESH:D012585', 'MESH:D010148', 'MESH:D005158', 'MESH:D006429', 'MESH:D009886', 'MESH:D010264', 'MESH:D010291', 'MESH:D012678', 'MESH:D004244', 'MESH:D000857', 'MESH:D006930', 'MESH:D010292', 'MESH:D014786', 'MESH:D001766', 'MESH:D014717', 'MESH:D014832', 'MESH:D000006', 'MESH:D018771', 'MESH:D003248', 'MESH:D014839', 'MESH:D007565', 'MESH:D011537', 'MESH:D011693', 'MESH:D011695', 'MESH:D011696', 'MESH:D016553', 'MESH:D000419', 'MESH:D006456', 'MESH:D009461', 'MESH:D010591', 'MESH:D013035', 'MESH:D003639', 'MESH:D012877', 'MESH:D010468', 'MESH:D005132', 'MESH:D009846']","[12.378752645665935, 1.9454362153971527, 0.342987847144765, 4.964955408514309, 18.59367236147111, 0.4844713774828484, 0.7350165749565932, 1.2148558604642947, 1.4731549166710445, 0.7479520787085234, 1.2196597127769402, 5.164324618678989, 5.978950113980964, 2.341000252522606, 4.485120359418707, 3.074353853560592, 2.701906514481101, 3.2332099875485074, 12.674632701731234, 6.221822898588778, 2.0265851178737564, 6.035792845107981, 2.083955149532715, 2.6313878286731183, 3.7118913168225856, 2.624169625686484, 1.4908914275297522, 7.3399880383194995, 23.88634756220436, 1.7232881843244452, 1.5904210228767852, 7.076514037695126, 1.5383141060813592, 4.071290734891374, 1.2946323628920158, 4.157698670097913, 3.8632073514988665, 2.2117885210426, 2.2882302165425417, 0.6634894318679091, 3.294415065029849, 2.082052199386629, 0.8435126654253875, 1.6175293416348633, 3.4953231482047213, 1.3860573662141715, 2.85429196878379, 3.095079984077709, 7.608637257442916, 8.059730597176056, 13.680398907868536, 8.141374586216566, 13.59437408698468, 4.070687293108283, 3.9779055596573167, 4.098858170074981, 30.327943981881543, 1.7149392357238251, 2.000107422762349, 1.985982163405724, 10.987170031778383, 7.301042455816744, 2.010443363079234, 3.2785386565425387, 2.97939047051441, 2.9068282648970896, 0.7350165749565932, 1.6071010892456583, 1.4929989098693168, 5.5973288485437225, 3.6927525243292414, 5.892619666684178, 18.208210488342868, 6.716500654827742, 0.7479520787085234, 4.878638851107762, 10.252713737746909, 3.550141738860662, 3.110911449294389, 3.478705573656504, 2.701906514481101, 1.077736662516169, 3.621323629066066, 1.7353123772912469, 0.8771292762243725, 2.624169625686484, 4.4039928229916985, 8.68594456807431, 3.621786736290857, 1.7232881843244452, 1.3316409916371097, 7.575894298507023, 1.1469285191793817, 4.422821273559453, 53.84099371284756, 4.338818596147477, 1.992983371326988, 21.71355058608733, 7.767794177352097, 2.659694538366165, 1.2774792836657665, 2.575471567665911, 0.3433219042716397, 1.3424714224114789, 2.2882302165425417, 2.3941100778365545, 2.7160362922995573, 1.3269788637358182, 1.0981383550099495, 1.5962519431875786, 1.66524481467453, 1.4376001304795285, 2.9546000006524262, 1.5939154935265591, 1.687025330850775, 1.45471177095225, 4.397826325445411, 6.379311635574802, 1.9982144207445407, 5.659622082207321, 5.8016833648709465, 2.0650866652283315, 2.8835216070987286, 0.2797656527013375, 3.229359599707584, 1.3672774715625755, 5.170604058688324, 2.44942887240623, 1.3860573662141715, 1.5078769738954958, 2.6140121352265933]"
B01.0,,,,,varicella meningitis,,,0.0017814721928479,neutral,,,,
B07.0,DOID:13775,,,,plantar wart,plantar wart,,0.0001339644410702,neutral,,,,
B07.8,,,,,other viral warts,,,0.0001339644410702,neutral,,,,
B07.9,,,,,"viral wart, unspecified",,,0.0001339644410702,neutral,,,,
B18.0,,,,,chronic viral hepatitis b with delta-agent,,,0.0003956851332536,neutral,,,,
